file_path,replicate,sample_name,data_type,reference_name,coverage_average,coverage_deletion_coverage_propagation_cutoff,coverage_deletion_coverage_seed_cutoff,coverage_group,coverage_nbinom_mean_parameter,coverage_nbinom_prob_parameter,coverage_nbinom_relative_variance,coverage_nbinom_size_parameter,coverage_nbinom_variance,coverage_relative_variance,coverage_variance,junction_only,length,num_bases_mapped_to_reference,num_features,num_genes,num_reads_mapped_to_reference,num_repeats,experiment_type,experiment_name
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1/data/summary.json,PN23_rep1,M1_PL_clone1,data,MG557852,1839.64,1570.0,0.0,1,1849.407,0.260370599558664,3.84067940733336,651.0439,7102.97938067817,5.569057,10245.06,False,33858,62070356.0,76,51,413889.0,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1/data/summary.json,PN23_rep1,M1_PL_clone1,data,NZ_CP009273,354.9485,239.0,0.0,0,356.662,0.352287348462767,2.83859186077382,193.9865,1012.41785024731,3.678768,1305.773,False,4631469,1642998603.4659,9057,4518,10955788.0000016,2,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1/data/summary.json,PN23_rep1,M1_PL_clone1,data,pS2313M_msfGFP,25887.75,21828.0,0.0,2,0.0,0.0,0.0,0.0,0.0,70.72265,1830850.0,False,3861,57503077.5,10,1,383610.5,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1/data/summary.json,PN23_rep1,M1_PL_clone1,data,pS2313RS_mScarle,0.0,-1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3846,35543277.5,4,1,237173.5,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1_p/data/summary.json,PN23_rep1,M1_PL_clone1_p,data,MG557852,1839.64,1570.0,0.0,1,1849.407,0.260370599558664,3.84067940733336,651.0439,7102.97938067817,5.569057,10245.06,False,33858,62069906.0,76,51,413886.0,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1_p/data/summary.json,PN23_rep1,M1_PL_clone1_p,data,NZ_CP009273,354.9566,239.0,0.0,0,356.6629,0.352291595349889,2.83855764145273,193.9906,1012.40820021769,3.685418,1308.164,False,4631469,1642988053.4659,9057,4518,10955714.0000016,2,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1_p/data/summary.json,PN23_rep1,M1_PL_clone1_p,data,pS2313M_msfGFP,25888.85,21827.0,0.0,2,0.0,0.0,0.0,0.0,0.0,70.80853,1833151.0,False,3861,57143097.5,10,1,381075.0,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M1_PL_clone1_p/data/summary.json,PN23_rep1,M1_PL_clone1_p,data,pS2313RS_mScarle,0.0,-1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3846,35183724.5,4,1,234641.0,0,PN23,TriComm KAN+PN23 2xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M6_PM_clone1/data/summary.json,PN23_rep1,M6_PM_clone1,data,MG557852,802.9669,657.0,0.0,1,898.2541,0.155776618526025,6.41944862754184,165.7464,5766.29604942883,43.6832,35076.16,False,33858,27287958.0,76,51,181959.0,0,PN23,TriComm PN23 1xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M6_PM_clone1/data/summary.json,PN23_rep1,M6_PM_clone1,data,NZ_CP009273,363.0305,255.0,0.0,0,374.3666,0.364878911606635,2.74063523045714,215.0747,1026.00229306646,9.419057,3419.405,False,4631469,1680652016.20119,9057,4518,11207219.0000023,2,PN23,TriComm PN23 1xMIC
/fast-storage/marco/2026_tricomm_manuscript/2026_tricomm_sequencing/out/PN23_rep1/M6_PM_clone1/data/summary.json,PN23_rep1,M6_PM_clone1,data,pS2313M_msfGFP,0.0,-1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3861,17093640.5,10,1,114006.0,0,PN23,TriComm PN23 1xMIC
